txn_id,source_id,target_id,timestamp,amount,is_fraud,src_out_degree_1d,src_neighbor_entropy,src_in_degree_1d,src_ego_in_out_delta_time,src_degree_ratio
0,1775,3507,2023-12-31T20:00:06.315836,24.739218426154228,0,0,-0.0,0,2592000,0.0
1,7937,1327,2023-12-31T20:00:45.436376,40.69405368089137,0,0,-0.0,0,2592000,0.0
2,3959,7540,2023-12-31T20:01:08.288591,144.66995301763038,0,0,-0.0,0,2592000,0.0
3,4027,3079,2023-12-31T20:01:17.499735,75.65141134867176,0,0,-0.0,0,2592000,0.0
4,2636,7883,2023-12-31T20:01:18.787884,222.39396832025042,0,0,-0.0,0,2592000,0.0
5,1118,8446,2023-12-31T20:01:21.175570,6.836619680048577,0,0,-0.0,0,2592000,0.0
6,4238,8635,2023-12-31T20:01:44.311366,18.514850066320385,0,0,-0.0,0,2592000,0.0
7,4591,2542,2023-12-31T20:02:28.703181,58.11235533000769,0,0,-0.0,0,2592000,0.0
8,5555,9751,2023-12-31T20:03:03.780850,3507.023163614023,0,0,-0.0,0,2592000,0.0
9,4130,6744,2023-12-31T20:03:12.541735,41.57602005283916,0,0,-0.0,0,2592000,0.0
10,4654,9554,2023-12-31T20:03:21.567702,21.059287258475553,0,0,-0.0,0,2592000,0.0
11,7064,4424,2023-12-31T20:03:52.824425,19.947283940124063,0,0,-0.0,0,2592000,0.0
12,9355,6695,2023-12-31T20:03:57.693989,8.40817169911779,0,0,-0.0,0,2592000,0.0
13,5927,6896,2023-12-31T20:04:05.760539,2766.4279941377054,0,0,-0.0,0,2592000,0.0
14,3253,6386,2023-12-31T20:04:07.591545,87.0143649835167,0,0,-0.0,0,2592000,0.0
15,4040,6436,2023-12-31T20:04:27.331692,37.44037015040914,0,0,-0.0,0,2592000,0.0
16,8519,8173,2023-12-31T20:04:55.134835,48.826465110564286,0,0,-0.0,0,2592000,0.0
17,3753,6821,2023-12-31T20:06:19.294859,90.52636930267086,0,0,-0.0,0,2592000,0.0
18,3391,4989,2023-12-31T20:06:29.165276,27.464810349205116,0,0,-0.0,0,2592000,0.0
19,1112,6583,2023-12-31T20:06:31.094167,117.2727750886389,0,0,-0.0,0,2592000,0.0
20,4247,3627,2023-12-31T20:06:32.663619,24.96351300578751,0,0,-0.0,0,2592000,0.0
21,3654,2398,2023-12-31T20:07:09.078804,73.18598486728521,0,0,-0.0,0,2592000,0.0
22,3986,4919,2023-12-31T20:08:26.640140,231.95141210367493,0,0,-0.0,0,2592000,0.0
23,5651,3640,2023-12-31T20:10:08.333765,37.75068780303,0,0,-0.0,0,2592000,0.0
24,2883,7643,2023-12-31T20:10:42.584296,29.167633843435212,0,0,-0.0,0,2592000,0.0
25,2183,239,2023-12-31T20:11:17.322627,49.59682250721325,0,0,-0.0,0,2592000,0.0
26,1729,2965,2023-12-31T20:11:26.846591,6.027677003149736,0,0,-0.0,0,2592000,0.0
27,8956,4369,2023-12-31T20:11:27.460306,66.08677683096009,0,0,-0.0,0,2592000,0.0
28,8652,133,2023-12-31T20:12:09.824559,2323.700636564789,0,0,-0.0,0,2592000,0.0
29,3431,6298,2023-12-31T20:12:15.104696,18.529867564131813,0,0,-0.0,0,2592000,0.0
30,1076,910,2023-12-31T20:12:22.992779,165.80122256005527,0,0,-0.0,0,2592000,0.0
31,685,8578,2023-12-31T20:12:25.325073,62.95058259145448,0,0,-0.0,0,2592000,0.0
32,9102,284,2023-12-31T20:12:45.226634,126.07185023542624,0,0,-0.0,0,2592000,0.0
33,4765,6025,2023-12-31T20:12:53.516423,71.05288794633583,0,0,-0.0,0,2592000,0.0
34,8767,4592,2023-12-31T20:13:11.493769,13328.017687795638,0,0,-0.0,0,2592000,0.0
35,9524,4567,2023-12-31T20:13:16.429758,45.823061701522825,0,0,-0.0,0,2592000,0.0
36,5107,6901,2023-12-31T20:14:05.894637,27.799336336186897,0,0,-0.0,0,2592000,0.0
37,9737,6584,2023-12-31T20:14:10.885626,34.5353683546418,0,0,-0.0,0,2592000,0.0
38,2980,2090,2023-12-31T20:14:21.310323,225.95456752905912,0,0,-0.0,0,2592000,0.0
39,8089,1309,2023-12-31T20:14:25.380443,80.27965853338368,0,0,-0.0,0,2592000,0.0
40,1021,5251,2023-12-31T20:14:39.964151,36.200957080841484,0,0,-0.0,0,2592000,0.0
41,3951,9516,2023-12-31T20:14:41.157153,3338.258980917113,0,0,-0.0,0,2592000,0.0
42,6165,470,2023-12-31T20:14:41.845357,99.73930604081274,0,0,-0.0,0,2592000,0.0
43,8455,3290,2023-12-31T20:14:45.695473,66.44004540556982,0,0,-0.0,0,2592000,0.0
44,1332,7844,2023-12-31T20:14:48.872184,149.82195212700842,0,0,-0.0,0,2592000,0.0
45,6575,9255,2023-12-31T20:15:27.760422,31.297806127004687,0,0,-0.0,0,2592000,0.0
46,2291,9537,2023-12-31T20:16:03.189801,208.8540675156678,0,0,-0.0,0,2592000,0.0
